"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Cameroon","CMR","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.19831075446886","","","","","1.77222923168869","","","","","1.43387189359828","","","","","1.42735706004066","","","","","1.40399052658132","","","","","1.63631370372888","","","","","","","",
"Cameroon","CMR","Net migration","SM.POP.NETM","0","0","0","0","-15","-51","-109","-163","-218","-291","-373","-444","-482","-477","-385","-243","-19995","-20622","-1296","-12106","70584","27854","-139994","-37377","-3511","-3597","-3671","-3816","-16013","-11241","-8163","-14519","-13704","-9597","-12024","-12660","-12744","-13843","-12442","-17405","-21221","-19204","-10766","-18575","-19445","-27782","-28536","-10804","-10722","-10203","-9362","-12671","-7529","-6900","96607","42007","13251","-37910","-9185","-12254","-9889","-9889","",
"Cameroon","CMR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.656","7.751","7.975","7.871","7.968","8.06","7.934","7.81","7.696","7.591","7.46","6.689","5.903","5.111","4.4","3.724","3.06","3.418","3.766","4.11","3.967","3.817","3.675","3.53","3.546","3.572","3.598","3.609","3.629","3.947","4.122","4.001",
"Cameroon","CMR","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.403","6.439","6.572","6.453","6.486","6.515","6.546","6.579","6.62","6.668","6.695","6.166","5.625","5.076","4.607","4.047","3.5","3.971","4.437","4.901","4.69","4.47","4.26","4.047","4.062","4.089","4.115","4.126","4.145","4.409","4.711","4.582",
"Cameroon","CMR","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.95","","","16.05","","","","23.065","","","","","","","","",
"Cameroon","CMR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.207","","","","","","","2.576","","","","","","","","",
"Cameroon","CMR","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.325","","","","","","","9.773","","","","","","","","",
"Cameroon","CMR","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.423","14.611","14.999","14.91","15.127","15.332","14.848","14.376","13.925","13.489","13.006","11.382","9.751","8.123","6.6","5.357","4.137","4.501","4.867","5.24","5.35","5.458","5.582","5.708","5.764","5.834","5.902","5.952","6.012","6.616","6.476","6.35",
"Cameroon","CMR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5047941","5197703","5350772","5510627","5675655","5844753","6022327","6206856","6395115","6584643","6777417","6980593","7195632","7417444","7641508","7867103","8098747","8341459","8418157","8476630","8515123","8654090","8788788","8923111","9090658","9410154","9711721","9996942","10286704","10596388","10818499","11162667","11577796",
"Cameroon","CMR","Part time employment, female (% of total female employment)","SL.TLF.PART.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","","","","","","","","","","","","",
