"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Marshall Islands","MHL","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.5","","67.164176940918","","67.164176940918","","69.1542282104492","67.164176940918","66.3461532592773","64.9038467407227","70.6730804443359","71.1538467407227","71.1538467407227","68.7203826904297","68.7203826904297","68.0751190185547","67.1361465454102","70.4225387573242","70.4433517456055","71.9211807250977","71.9211807250977","72.9064025878906","69.4174728393555","70.5314025878906","71.0144958496094","67.6328506469727","67.6328506469727",
"Marshall Islands","MHL","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.9551576750562","38.3038200608516","36.5932510602895","33.4534137091634","34.4267309692875","47.6874955240839","53.9323828851362","48.7722775434683","46.3075721370085","48.4197352765346","19.5526563908741","","30.332706301529","22.9290641334057","","","","",
"Marshall Islands","MHL","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8426823.29113521","8171936.97218861","7859671.8106898","7906120.40659657","8519337.70747455","7388257.49297016","8299825.28759662","8042179.86596485","8870864.07716261","10790466.8652349","6492132.85604005","5135123","21918154.8981494","37387691.5085927","942784.017","1040315.115","1059451.586","",
"Marshall Islands","MHL","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14006851","110596112","130617313","277949011","647203053","1104776482","805834800","1306302342","1284036333","400913721","220936289","275318237","248967034","426771506","390033643","463481919","210341136","595165681","629864812","899455179","677052328","","",
"Marshall Islands","MHL","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.15866931075355E-05","","1.17670861136235E-05","1.77455726657623E-05","1.40855599874596E-05","","8.40579861321334E-05","0.0104432821355119","1.19861293460193E-05","0.000289194914054364","","6.281509413279E-05","0.000113273027162037","0.305534624477829","0.00397368342211251","0.0426264485465494","0.0173061430557397","0.046521367252429","","",
"Marshall Islands","MHL","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.5862983050223","6.74326779227103","","0.0169236076180893","0.000725738232881914","1.56102689376402","0.0442064552188612","2.01838970598738","0.208783655968402","4.16936141729108","10.6266739186517","11.2736051698602","6.20713624278466","72.2930450281749","7.4722423367976","10.3962418003193","19.4251061760929","4.95393785986797","5.55017018477292","9.79887726011971","10.6949724571363","","",
"Marshall Islands","MHL","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Export volume index (2015 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.988463089","38.912290529","43.6360587149","45.7235564141","57.9219788056","78.7477937205","50.3953277063","45.780399995","40.5966431311","39.1379039407","54.2070102675","79.9265862843","164.5015027834","123.6934783948","104.337183318","100","73.9390321252","81.5987430671","84.8060863954","121.7048869316","95.2839155917","148.0273930069","",
"Marshall Islands","MHL","Transport services (% of commercial service imports)","TM.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5557706249203","56.4996078613107","52.8505114275631","58.5019403441808","41.6304855569651","50.5018985621329","49.7776893797664","50.4416115401987","47.6155015092119","48.9005601141235","43.1420898248229","40.5400080047962","60.8510744380073","55.4495304827989","37.2327023795456","35.8484256871791","46.923459518816","",
"Marshall Islands","MHL","Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)","TM.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.133711432137748","0.119251535558686","0.105812973828789","0.251794767031376","0.163476930140536","0.0309878152127003","0.133922131943779","0.0399289163076856","0.021001560289269","0.184044565034737","0.129759720014542","0.351813190260432","0.2580397012277","0.262600363787915","0.108177311216598","0.0918087820640685","23.2751865404507","22.3748010416809","17.5784759112235","20.7023412492065","26.4373334435866","","",
"Marshall Islands","MHL","Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","TM.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0242857190424412","0.000638328937100329","","","","0.000148722739853208","","","","","0.00136374210862052","0.000434290014534132","0.110346048216167","0.224765016614844","0.0530868359905273","","",
"Marshall Islands","MHL","Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","TM.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.133711432137748","0.119251535558686","0.105812973828789","0.251794767031376","0.163476930140536","0.0309878152127003","0.133922131943779","0.0399289163076856","0.021001560289269","0.184044565034737","0.129759720014542","0.351813190260432","0.2580397012277","0.262600363787915","0.108177311216598","0.0918087820640685","23.2751865404507","22.3748010416809","17.5784759112235","20.7023412492065","26.4373334435866","","",
"Marshall Islands","MHL","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0201506246959152","0.00377273438420976","0.00277963794269824","0.0169014709798092","0.0174047372187834","0.0104590828987702","0.00683089767949101","0.00122420931911324","0.00575930367279136","","",
"Marshall Islands","MHL","ICT goods imports (% total goods imports)","TM.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Import unit value index (2015 = 100)","TM.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.2055289452","66.9559710226","67.0996202889","66.2054570453","67.0834473419","62.5304466998","69.0174012993","77.8673871903","97.2501138099","111.0391313227","124.6892056569","130.4403609495","136.2076426275","101.7688841858","101.2375912784","100","93.1504171463","92.2260385172","91.2250892585","85.0227738394","84.3190297252","103.6644335439","",
"Marshall Islands","MHL","Tariff rate, most favored nation, simple mean, primary products (%)","TM.TAX.TCOM.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Binding coverage, primary products (%)","TM.TAX.TCOM.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Tariff rate, most favored nation, simple mean, all products (%)","TM.TAX.MRCH.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Binding coverage, all products (%)","TM.TAX.MRCH.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100000.001490116","200000.002980232","300000.011920929","300000.011920929","300000.011920929","400000.005960464","25500000","23100000.3814697","24299999.2370605","24500000","24549999.2370605","21989999.7711182","23799999.2370605","25500000","24700000.7629395","23799999.2370605","26200000.7629395","27000000","27600000.3814697","31399999.6185303","","","","",
"Marshall Islands","MHL","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490000.009536743","479999.989271164","400000.005960464","100000.001490116","200000.002980232","200000.002980232","280000.001192093","189999.997615814","200000.002980232","200000.002980232","200000.002980232","25200000.7629395","11500000","11500000","","","","",
"Marshall Islands","MHL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5500","6199.99980926514","6400.00009536743","6400.00009536743","4599.99990463257","5199.99980926514","5400.00009536743","6000","7199.99980926514","9000","9199.99980926514","5800.00019073486","7199.99980926514","6000","5400.00009536743","4599.99990463257","4599.99990463257","4599.99990463257","","4900.00009536743","6300.00019073486","5400.00009536743","6000","6800.00019073486","6099.99990463257","","","",
"Marshall Islands","MHL","Urban population growth (annual %)","SP.URB.GROW","","6.93705495026615","6.94929737910255","6.9883343495926","6.97540908586803","6.90851011388499","6.83643116002347","7.81393865008439","12.185142473475","12.7466041736442","10.8215813129462","7.691193068527","6.12786635200423","5.94691416538901","2.32193394160969","2.52568305154456","2.5645518169483","2.56416782666743","2.5452487826614","2.53163961122818","2.64624639970946","4.67759206443503","5.31645275441366","5.28763768311609","5.26685162380435","5.24388261213084","5.16764817864097","5.06340175018291","4.83002278958856","3.69453618458885","2.84770973934191","2.68114340824318","2.53511201792782","2.42604983818163","2.31722531485218","2.21155388422509","2.12898437656674","2.06476314722348","2.01188059491976","1.75679821834537","1.49278742965663","1.10448125585416","0.897555635722556","0.727466933458637","0.6130427328136","0.526555914747926","0.45943864209696","0.36757659595946","0.261364367510436","0.24536753524391","0.316044611223791","-0.19868568357889","-0.842417508017679","-1.04426093692886","-1.2497874913747","-1.45763585769582","-1.6636093920556","-1.86030213782625","-2.05351761784384","-2.28122892581952","-2.49720578752511","-2.71925518200787","-0.693058478097384",
"Marshall Islands","MHL","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.1","","","","","",
"Marshall Islands","MHL","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","48.7706517497073","48.780487804878","48.8130835418319","48.8228004956629","48.822489593431","48.8267048584334","48.8400553368096","48.6193745232647","47.988191038522","47.2572161075012","46.9397972380992","47.2244732576985","47.7954074310317","48.3582791317295","48.6627951402155","48.7336858061892","48.8056072092691","48.862064194798","48.9227887060083","48.9741764287101","49.0027510316369","48.9900358228725","48.9484798518904","48.911744266852","48.8741085022838","48.8321954725117","48.7946307400005","48.7654907174398","48.7398997413418","48.7352182804303","48.7436749408213","48.7514079867384","48.7535145267104","48.7495913697287","48.7379614767255","48.7278608338922","48.719391516939","48.7107987318079","48.7021292604018","48.6978489430471","48.7053703157274","48.716299413743","48.7228420434527","48.7310296735361","48.7443740240654","48.7586727276073","48.7732438016529","48.7804878048781","48.7977553144046","48.8160767264382","48.7887524337277","48.758754790357","48.7634810259947","48.771226047671","48.7831968107261","48.7978142076503","48.8133418858242","48.8270074384894","48.8377655526322","48.8620103738151","48.8885817612236","48.910820451843","48.9451273785754",
"Marshall Islands","MHL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Age dependency ratio (% of working-age population)","SP.POP.DPND","115.670594837262","116.778248394589","117.696293343962","118.642755773449","119.459391815793","120.262072312546","121.157919510473","119.671581769437","114.568859828361","108.728547702528","105.583669268376","106.52719665272","109.286608260325","111.598408224175","112.86597267404","113.573910296905","114.703624078624","116.099857986397","117.720320466133","119.373846372285","120.363736566547","120.460578709849","120.184713375796","119.876535664079","119.687811748137","119.590824550527","119.63472794277","119.774600855682","119.620953146994","118.367148820503","116.142508449118","113.741255564641","111.352231710538","108.850010667805","106.065241658742","103.198140429625","100.361544143374","97.5513130093571","94.9541620828749","92.2299589359043","88.9535491514793","85.4187964288148","82.0693572096753","79.0118590059459","76.1992619926199","73.7426059152678","71.9196980749104","70.8657433757035","70.4926342467923","70.6815286624204","71.345629510826","71.3463155851718","70.3753263707572","69.294168067781","68.0745383025535","66.7285304538552","65.4932712392562","64.5557260426838","63.7201851192595","62.6827671491962","61.3686205999331","59.8676957001103","58.7413121515314",
