"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Turks and Caicos Islands","TCA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8798452496094","14.1532800226452","13.4852673454251","0","12.3175463447681","0","","","","","18.9411876124633","","","","","7.47300377386691","7.16383695107099","13.7608366588689","","","","17.6268398014043","11.2882743050656","","","","","","","","",
"Turks and Caicos Islands","TCA","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.9998165902505","95.3176482764181","95.8578474807127","95.1034552127721","95.8862698648284","","","","",
"Turks and Caicos Islands","TCA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614334845","649916368.664429","736688029.180792","600273142.128048","821023788.634874","","","","",
"Turks and Caicos Islands","TCA","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0172566287481359","0.136789552380455","","0.0733157012957708","0.0796844665119655","0.000926143483890614","","0.392181758826588","0.0235785423822608","0.0248897282090127","0.245626824123737","","1.70739062169833","0.831080495089627","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0426853921073602","0.254008583589767","","","","","0.0717247314212899","0.00156157219542911","0.0189464937483337","1.93235129326059","0.171452697169157","","0.0217987202276068","0.0104815937297078","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Export volume index (2015 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177.792178565","169.6808972129","216.4554609639","224.0166161569","274.7686873219","329.5689674499","393.0636876313","347.8372092719","489.1264064621","427.6179810331","314.5854464389","143.9190692087","205.8115257612","106.9315761451","116.831427363","100","98.3347289566","92.8693741145","70.9396021342","70.8370453118","65.2455182767","76.0240333401","",
"Turks and Caicos Islands","TCA","Transport services (% of commercial service imports)","TM.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.0879404053427","87.7725826527427","83.4222647730354","83.1079802311551","83.1005705932894","","","","",
"Turks and Caicos Islands","TCA","Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)","TM.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","TM.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","TM.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","ICT goods imports (% total goods imports)","TM.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5605026251","2.9825293927","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Import unit value index (2015 = 100)","TM.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.3610644973","68.4556296906","68.2063757252","70.543363863","73.8705671695","79.0550896405","83.5034820243","89.8671123503","98.1744954379","90.2988310139","95.527554725","111.9458720541","111.8730070074","110.7428503768","110.7863539832","100","96.8968738549","100.7858288159","107.4136048031","106.7518473947","108.5088477789","123.3411756074","",
"Turks and Caicos Islands","TCA","Tariff rate, most favored nation, simple mean, primary products (%)","TM.TAX.TCOM.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Binding coverage, primary products (%)","TM.TAX.TCOM.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Tariff rate, most favored nation, simple mean, all products (%)","TM.TAX.MRCH.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Binding coverage, all products (%)","TM.TAX.MRCH.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153000000","174000000","235000000","194000000","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","757000","865000","899000","1010000","968000","1069000","1330000","1316000","1296000","1243000","1463000","1599000","370399.993896484","","",
"Turks and Caicos Islands","TCA","Urban population growth (annual %)","SP.URB.GROW","","1.07948191360793","0.84793134767874","0.731532157637292","0.834699094115012","0.863625374939626","0.714033737020967","0.850164525532047","0.808014232796019","0.593059474163812","0.69324367756449","2.08518920609969","3.42510620828111","3.62742386038352","3.68291661886012","3.93258895868454","4.03661500605145","3.93394145600323","3.94074525797039","3.81628604953274","4.70531644584296","8.3353030297773","8.44152550861457","8.08169052564517","7.76968333321061","7.41693455680056","7.05341542453644","6.76933906003839","6.48337804903193","6.13751483689923","6.4163328272554","6.75137003193684","6.92720121649286","6.60965193315931","6.3406632551725","6.05365975216727","5.80969404222129","5.56459093139864","5.41139207822744","5.29975012504531","5.1466002517883","5.30837148580148","5.83411618066871","6.0876937477944","5.73324892858665","5.44129530043708","5.22356639349639","5.01995169693105","4.85757789183161","4.67149132168307","4.43687238976425","4.08741910626189","4.48967166281126","5.03809253917072","4.45776637725078","4.71676611550509","4.91774197898315","4.41715672187687","4.34425371303265","4.04656758681758","3.00277262601928","2.11760541879885","1.52381221715361",
"Turks and Caicos Islands","TCA","Completeness of death registration with cause-of-death information (%)","SP.REG.DTHS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Completeness of birth registration, male (%)","SP.REG.BRTH.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.44","","",
