"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Timor-Leste","TLS","International migrant stock, total","SM.POP.TOTL","7148","","","","","7705","","","","","8306","","","","","8953","","","","","7706","","","","","8307","","","","","8954","","","","","9743","","","","","10602","","","","","11286","","","","","10983","","","","","10834","","","","","","","",
"Timor-Leste","TLS","Children in employment, wage workers (% of children in employment, ages 7-14)","SL.WAG.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Timor-Leste","TLS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.235","","","","","","5.646","","","3.301","","","4.05","","","4.657","","","","","2.344","",
"Timor-Leste","TLS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.873","","","","","","7.129","","","4.261","","","3.967","","","6.256","","","","","3.002","",
"Timor-Leste","TLS","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.228","","","","","","14.409","","","8.219","","","9.868","","","7.01","","","","","2.426","",
"Timor-Leste","TLS","Unemployment with basic education, male (% of male labor force with basic education)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.97","","","","","","4.452","","","2.68","","","4.095","","","3.176","","","","","2.618","",
"Timor-Leste","TLS","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.224","","","","","2.496","",
"Timor-Leste","TLS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.936","","","","","","13.264","","","8.736","","","10.49","","","10.915","","","","","3.311","",
"Timor-Leste","TLS","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5824276113831","44.2176579754399","44.1141653749812","44.0367091733937","44.0119876256767","44.0088516486675","44.0122565777812","44.0978891252003","44.2635017020885","45.122970461373","45.0996800822895","45.0329653834607","45.2998507084308","45.4990638846993","45.6061688618072","45.5811522724527","45.6417880910639","45.4616640771551","45.290379168393","45.1668975643257","45.0902750279613","45.101526169031","45.1263028668029","45.1963414973649","45.249211619121","45.2828123764995","45.2662124553145","45.3247424959959","45.34048737033","45.1471586465389","45.1243662792492","45.2122762148338","45.3009105684956",
"Timor-Leste","TLS","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.533","","","","","","69.853","","","46.837","","","51.679","","","63.724","","","","","35.988","",
"Timor-Leste","TLS","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.775","","","64.9","","","62.151","","","41.536","","","54.601","","","67.068","","","","","34.625","",
"Timor-Leste","TLS","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.5620585267407","","","73.0666666666667","","","62.2134905042567","","","47.8999106344951","","","67.3121254034117","","","84.5200385621815","","","","","67.4480425326245","",
"Timor-Leste","TLS","Labor force with basic education, male (% of male working-age population with basic education)","SL.TLF.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.565","","","","","","90.03","","","45.028","","","59.64","","","71.089","","","","","24.604","",
"Timor-Leste","TLS","Labor force with advanced education, female (% of female working-age population with advanced education)","SL.TLF.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.088","","","","","","57.107","","","44.464","","","59.012","","","61.896","","","","","56.319","",
"Timor-Leste","TLS","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.663","42.754","41.901","41.07","40.54","39.99","39.213","39.125","39.763","45.629","44.221","42.562","43.725","44.331","44.606","44.528","45.325","44.341","43.222","42.255","41.355","40.878","40.377","40.337","40.026","39.901","39.73","40.481","40.853","38.999","38.63","38.619","39.03",
