"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Venezuela, RB","VEN","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.16066416207988","","","","","4.59692245650945","","","","","4.14053040999119","","","","","3.99924315764641","","","","","4.59201168999107","","","","","4.51473657184212","","","","","","","",
"Venezuela, RB","VEN","Net migration","SM.POP.NETM","8369","6070","4377","3292","2410","1668","1099","725","542","413","309","225","183","182","183","195","198","208","218","237","244","260","267","267","257","243","216","190","145","42","-80","-241","-388","-487","-567","-633","-717","-825","-1013","-1388","-2004","-2852","-3934","-5730","-10798","-18400","-27239","-36052","-43636","-50286","-52784","-54377","-55130","-57815","-62437","-77421","-283326","-817764","-1356759","-976460","-525142","-525116","",
"Venezuela, RB","VEN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.45","7.69","6.6","8.56","10.24","11.77","11.16","11.15","14.53","13.99","13.04","16.17","16.78","15.07","10.66","8.61","7.28","6.25","6.1","7.11","6.9","6.6","7.54","6.865","6.077","5.32","5.05","5.02","5.092","7.53","6.471","5.328",
"Venezuela, RB","VEN","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.32","6.926","5.679","9.558","12.605","14.347","13.628","13.307","16.487","14.606","14.11","18.906","20.505","17.983","11.636","9.39","7.645","6.226","5.967","6.946","7.208","7.105","8.606","7.614","6.5","5.41","5.87","5.847","5.936","7.91","7.262","6.116",
"Venezuela, RB","VEN","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.453","32.87","31.471","31.672","27.774","25.01","25.581","26.959","","","","27.277","30.969","","","30.1","","",
"Venezuela, RB","VEN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.972","8.741","7.215","6.127","5.959","6.811","6.344","6.087","","","","4.673","3.943","","","","","",
"Venezuela, RB","VEN","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.293","7.512","6.997","6.209","6.34","7.318","7.372","6.664","","","","5.397","5.348","","","","","",
"Venezuela, RB","VEN","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.839","13.498","11.758","12.987","14.484","16.644","15.882","15.981","21.509","22.258","20.163","23.133","23.28","21.759","16.366","13.421","12.316","11.549","11.44","13.177","12.685","11.994","13.17","12.301","11.277","10.29","10.816","10.919","11.183","12.053","11.752","9.708",
"Venezuela, RB","VEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7851128","8116734","8371351","8607813","8834999","9094628","9337174","9614735","9865541","10077590","10348118","10617423","10802303","10980655","11373943","11695705","12062613","12233922","12453087","12638870","12831302","13014061","13131113","13251950","13365100","13467003","13499592","13257948","12619008","11431538","10451032","10501194","10811318",
"Venezuela, RB","VEN","Part time employment, female (% of total female employment)","SL.TLF.PART.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.5","25.88","25.51","25.38","24.15","22.39","21.27","21.24","","","","18.17","17.41","","","","","",
"Venezuela, RB","VEN","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.147","64.398","64.512","64.452","64.3","64.361","64.283","64.426","64.371","64.07","64.139","64.196","63.725","63.22","63.959","64.28","64.86","64.42","64.29","64.04","63.85","63.63","63.11","62.631","62.15","61.666","61.18","60.396","59.089","55.266","51.293","51.843","52.744",
"Venezuela, RB","VEN","Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","SL.TLF.CACT.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.843991690236","61.1802328486484","61.7787679291096","61.2503277521819","60.337211472656","60.17061752617","60.6972683048522","60.5268719619081","61.1156900944103","59.9785755212875","59.4156005157195","60.5245435498354","59.8881507337762","58.1743121554541","58.9830004460524","62.2148689623935","62.4338294047143","62.5204356246385","62.7234536440133","63.6836138039975","63.1332357247438","63.5816306923717","64.1052549751244","64.0186306231082","63.9388205613371","63.8655795854621","63.7982987120344","61.8708395032083","61.4219890448942","60.6809802645847","60.4830932901982","60.6901332511746","61.2128024790752",
"Venezuela, RB","VEN","Labor force with basic education (% of total working-age population with basic education)","SL.TLF.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.776","64.202","63.795","63.714","63.304","62.897","62.646","61.628","","","","55.665","63.07","","","","","",
"Venezuela, RB","VEN","Labor force with advanced education, male (% of male working-age population with advanced education)","SL.TLF.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.641","78.917","77.63","76.784","76.657","77.336","76.515","75.743","","","","76.188","81.05","","","","","",
"Venezuela, RB","VEN","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.986","51.424","51.888","51.623","51.078","51.094","51.355","51.431","51.747","50.952","50.757","51.433","50.757","49.487","50.555","52.565","53.253","52.926","53.007","53.336","53.094","53.252","53.152","52.797","52.445","52.1","51.778","50.32","49.213","45.823","42.629","43.345","",
"Venezuela, RB","VEN","Labor force participation rate for ages 15-24, male (%) (national estimate)","SL.TLF.ACTI.1524.MA.NE.ZS","","76.48","","","","","","","","","","63.93","","","","","","62.35","","62.45","","62.3","61.45","59.46","59.9","61.4","61.27","61.03","61.49","62.08","59.08","63.06","61.18","57.36","61.88","63.44","63.4","65.68","66.6","","","53.14","67.24","65.4","","58.412","58.317","57.254","56.637","55.341","54.338","53.079","52.057","","","","46.235","53.552","","","45.59","","",
"Venezuela, RB","VEN","Children in employment, work only (% of children in employment, ages 7-14)","SL.TLF.0714.WK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5824175824","","24.7","19.8447789614905","","","","","","","31.13462","","","","","","","","","",
"Venezuela, RB","VEN","Children in employment, work only, female (% of female children in employment, ages 7-14)","SL.TLF.0714.WK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0909090909","","","10.1940414626333","","","","","","","17.0476","","","","","","","","","",
"Venezuela, RB","VEN","Children in employment, study and work, male (% of male children in employment, ages 7-14)","SL.TLF.0714.SW.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.0701754386","","","75.7128261304627","","","","","","","62.85575","","","","","","","","","",
"Venezuela, RB","VEN","Children in employment, male (% of male children ages 7-14)","SL.TLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4","","7.1","6.9","","","","","","","5.368505","","","","","","","","","",
"Venezuela, RB","VEN","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.90974","80.97823","81.79719","83.06344","83.60777","84.73695","84.68559","85.09873","85.18108","85.48838","86.32197","86.63752","86.66312","86.92361","86.67467","86.84254","86.45966","86.9874","86.86654","87.40787","87.67254","88.04498","87.97277","87.72248","87.6684","87.50721","86.25259","85.68665","84.56129","83.58659","83.95473","",
"Venezuela, RB","VEN","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.59","","","","","","","27.39","","","","","","","","","",
"Venezuela, RB","VEN","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2776144265","","7.7","6.57","","","","","","","9.25","","","","","","","","","",
"Venezuela, RB","VEN","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.83087","16.92556","16.27705","14.47231","14.42161","13.41522","13.76874","13.51101","13.09345","12.81671","11.97761","11.5095","11.17124","11.03183","11.1667","11.29457","11.77368","11.22632","11.31293","10.86021","10.73685","10.4324","10.6013","10.96928","11.07009","11.28782","11.58238","11.23426","11.28199","11.6663","11.1088","",
"Venezuela, RB","VEN","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.542791","1.468737","1.448472","1.26599","1.38534","1.196996","0.9359993","1.586004","2.44894","2.263155","3.277366","3.842945","3.982089","2.920386","3.661493","2.528084","1.804874","1.99734","1.831643","1.438541","1.676657","1.724245","1.586937","1.473813","1.356559","1.263847","0.3991489","0.424493","0.4879659","0.5340396","0.5887903","",
"Venezuela, RB","VEN","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.36866","62.61522","62.39951","61.71177","62.10054","61.27397","63.87237","60.38182","59.23106","58.03056","59.04391","60.0805","59.58867","62.11294","63.45378","64.57455","65.95863","65.37113","64.74763","63.29401","63.48799","64.77592","65.31015","65.31823","65.07426","64.82468","61.35279","61.11501","60.38234","58.49199","58.2836","",
"Venezuela, RB","VEN","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.511878","33.237237","33.475338","34.166758","33.456279","34.228138","30.273904","32.099165","33.557033","35.001687","30.941837","31.495018","32.805806","31.388152","29.821272","29.04333","27.8861104","29.4714129","30.2067573","32.5770329","32.5599933","31.5328128","31.4742511","32.0617785","32.8180288","33.6729623","38.0737686","38.1791825","38.9285279","41.0394153","41.613248","",
"Venezuela, RB","VEN","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.422","73.371","74.346","73.978","73.45","72.009","72.683","72.222","69.576","69.68","70.258","68.343","68.502","69.965","71.503","73.6","73.916","74.301","73.642","72.877","72.836","72.348","71.409","71.256","71.174","71.056","71.57","70.269","66.014","59.608","61.041","62.657",
"Venezuela, RB","VEN","Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.672456","6.591305","6.490245","6.45188","5.665949","4.931868","5.06514","5.043908","5.197082","5.102913","6.61995","5.527154","5.07928","4.80397","4.942109","4.575119","4.19768","3.821651","3.810253","3.468714","3.507014","3.310737","3.390692","3.391921","3.491144","3.527733","2.996126","2.67164","2.365426","1.889289","1.75185","",
"Venezuela, RB","VEN","Employment to population ratio, ages 15-24, total (%) (national estimate)","SL.EMP.1524.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.824","38.595","38.414","38.421","37.614","35.696","34.925","34.213","","","","30.787","37.096","","","32.11","","",
"Venezuela, RB","VEN","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.414","26.36","26.282","26.411","25.888","23.884","23.182","22.283","","","","19.615","25.733","","","23.82","","",
"Venezuela, RB","VEN","Child employment in agriculture (% of economically active children ages 7-14)","SL.AGR.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9000450175","","","32.34","","","","","","","31.77","","","","","","","","","",
"Venezuela, RB","VEN","Survey mean consumption or income per capita, total population (2017 PPP $ per day)","SI.SPR.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Average transaction cost of sending remittances to a specific country (%)","SI.RMT.COST.IB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Multidimensional poverty index (scale 0-1)","SI.POV.MDIM.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Multidimensional poverty headcount ratio, female (% of female population)","SI.POV.MDIM.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Poverty gap at $3.65 a day (2017 PPP) (%)","SI.POV.LMIC.GP","","","","","","","","","","","","","","","","","","","","","","5.9","","","","","","6.4","","5.3","","","4.6","","","9.3","","","9.8","10.8","","9.5","14.7","17.6","15","13.2","6.8","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","6.7","","","","","","7","","5.3","","","4.5","","","9.9","","","10.4","11.8","","10.3","16.4","19.7","16.6","14.4","7.1","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","43.4","","","","","","40.8","","32.5","","","31.6","","","35.6","","","35.8","36","","35.3","36.2","35.1","34.7","36.4","33.2","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","6.5","","","","","","6.8","","9.7","","","10.2","","","8.8","","","8.6","8.8","","8.8","8.5","8.7","8.9","8.6","9.6","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Out-of-pocket expenditure per capita, PPP (current international $)","SH.XPD.OOPC.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","352.357772438809","393.455119447508","348.744140452567","261.998927401293","257.248544824567","299.798043145752","335.599168655975","401.847281698315","428.628844650051","503.228607939472","435.524170670045","433.705766825258","342.653868244751","325.759195985677","309.918111216522","183.366502483708","152.793040233246","137.02299554696","235.662727475276","160.0757490285","152.744668375205","","",
"Venezuela, RB","VEN","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161.31463063","174.23147089","130.3129619","122.49752182","157.53530114","153.54018641","311.46250151","336.59143829","288.45805626","301.7523202","354.76309958","334.89181567","369.33663748","268.32510254","239.77620998","221.91584209","173.85441888","226.37051487","85.21633569","42.06507166","62.59096285","","",
"Venezuela, RB","VEN","External health expenditure per capita, PPP (current international $)","SH.XPD.EHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.438611625894144","0.679607951100069","1.1057750717014","0.606551664300574","0.128328859945774","0.106033740453065","0.333876773287644","0.207827772628128","0.0944541732065966","0.0827901458980903","0.143212829527409","0.191906341019571","0.106748225442156","0.0870476186331516","0.0501880850874136","0.0512542209242891","0.0421931854192167","0.0271081607329041","0.283875293712889","0.537873456854293","0.594323920871506","","",
"Venezuela, RB","VEN","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","351.70773315","387.64743042","283.02047729","243.20851135","290.81988525","330.34594727","548.26531982","651.41546631","724.06237793","877.48358154","936.85351563","780.71722412","834.31451416","696.19317627","695.52032471","490.22262573","367.72561646","366.64205933","165.34623718","113.25978851","142.45858765","","",
"Venezuela, RB","VEN","Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.TOT2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.10.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%)","SH.UHC.FBPR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Tuberculosis case detection rate (%, all forms)","SH.TBS.DTEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","79","79","79","79","79","79","79","79","79","79","79","80","80","80","79","78","77","77","79","72","70","75",
