"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Zimbabwe","ZWE","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.978","","","8.234","","","","","8.864","","10.18","",
"Zimbabwe","ZWE","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.853","","","4.852","","","","","6.068","","7.933","",
"Zimbabwe","ZWE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.664","10.862","10.848","10.846","12.456","13.807","15.364","14.046","12.815","11.892","10.864","9.966","9.011","7.882","8.062","8.245","8.442","8.733","8.715","8.834","9.035","8.309","7.67","6.937","7.862","8.781","9.67","10.592","11.616","12.7","12.519","12.374",
"Zimbabwe","ZWE","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.96","6.98","6.877","6.814","8.515","10.072","11.779","11.01","10.299","10.027","9.649","9.373","9.058","8.593","8.826","9.073","9.339","9.697","9.742","9.941","10.23","9.474","8.805","8.025","8.878","9.72","10.528","11.368","12.306","13.597","13.466","13.433",
"Zimbabwe","ZWE","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.66","","","","","24.49","","21.51","",
"Zimbabwe","ZWE","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.929","","","84.415","","","","","75.885","","76.856","",
"Zimbabwe","ZWE","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.968","74.798","74.47","74.041","73.582","73.119","72.816","72.574","72.345","72.067","71.718","71.56","71.38","71.205","71.094","71.081","70.959","70.944","71.026","71.179","71.392","71.574","71.796","72.024","72.215","72.333","72.437","72.367","72.17","71.927","71.239","71.554","71.916",
"Zimbabwe","ZWE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.608","59.665","59.772","59.922","60.08","60.224","60.315","60.39","60.461","60.547","60.655","60.711","60.77","60.828","60.873","60.897","60.941","60.953","60.943","60.915","60.873","60.84","60.792","60.734","60.682","60.648","60.617","60.629","60.673","60.73","60.149","60.663","61.211",
"Zimbabwe","ZWE","Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.168","","","80.644","","","","","59.513","","56.758","",
"Zimbabwe","ZWE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.018","67.957","67.791","67.647","67.528","67.359","67.269","67.162","67.06","66.931","66.78","66.712","66.604","66.472","66.415","66.398","66.359","66.355","66.33","66.434","66.579","66.696","66.826","66.898","66.967","67.021","67.066","67.073","67.037","66.938","66.307","66.698","",
"Zimbabwe","ZWE","Labor force participation rate for ages 15-24, total (%) (national estimate)","SL.TLF.ACTI.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","55.48","","","","59.6","53.06","","","","","","","","","","54.27","","52.15","","","","","74.13","","","","","","","72.651","48.26","","75.418","","","","","50.073","","48.886","",
"Zimbabwe","ZWE","Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","48.74","","","","57.7","52.99","","","","","","","","","","51.81","","48.07","","","","","69.05","","","","","","","67.592","43.9","","70.879","","","","","43.085","","44.108","",
"Zimbabwe","ZWE","Children in employment, work only, male (% of male children in employment, ages 7-14)","SL.TLF.0714.WK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8","","","","","","","","","","","","","","","","","","","","","","","",
"Zimbabwe","ZWE","Children in employment, study and work (% of children in employment, ages 7-14)","SL.TLF.0714.SW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","","","","","","","","","","","","","","","","","","",
"Zimbabwe","ZWE","Children in employment, study and work, female (% of female children in employment, ages 7-14)","SL.TLF.0714.SW.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.6","","","","","","","","","","","","","","","","","","","","","","","",
"Zimbabwe","ZWE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.94996","21.81512","21.78395","22.15812","22.6104","22.98837","23.28029","23.79833","23.54927","22.50332","21.30191","19.77324","18.15739","17.1253","16.90848","16.51553","16.93163","18.04674","20.58662","23.57286","25.04391","25.5943","25.40349","25.39992","25.61784","25.67812","26.08871","26.43953","26.40608","26.52198","26.74871","",
"Zimbabwe","ZWE","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zimbabwe","ZWE","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","","","","","","","",
