"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Burundi","BDI","International migrant stock (% of population)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9344669945045","","","","","4.08481767197786","","","","","1.85645994952323","","","","","2.17884243843718","","","","","2.48658800012726","","","","","2.56563222872762","","","","","","","",
"Burundi","BDI","Net migration","SM.POP.NETM","-14647","15090","-15378","-11519","29635","-13952","5261","-9820","-5928","-25319","-6348","-7580","-118665","2839","10072","-20706","-12871","1890","8248","-40170","149360","-58722","-3837","-41786","-29572","-66680","-55836","-21213","-46546","-43635","-39996","-39298","35771","-686089","516369","-84698","-226350","-84365","13841","-34507","-40114","9965","-16881","36721","47090","17913","15322","22120","79323","184361","11847","-19517","22613","-2295","-6856","-236447","-109490","-68450","68145","14241","-10186","-14415","",
"Burundi","BDI","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.616","2.689","2.812","2.819","2.892","2.933","2.897","2.859","2.962","2.998","3.003","3.014","3.126","3.094","3.189","3.18","2.423","1.63","1.625","1.606","1.602","1.589","1.576","1.57","1.477","1.315","1.166","1.017","0.871","1.03","1.132","1.02",
"Burundi","BDI","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.237","2.277","2.356","2.346","2.382","2.395","2.352","2.307","2.362","2.369","2.353","2.342","2.398","2.354","2.396","2.367","1.766","1.141","1.146","1.142","1.148","1.148","1.148","1.153","1.125","1.051","0.986","0.92","0.856","0.977","1.127","1.015",
"Burundi","BDI","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.866","","","","","","","","4.978","","","5.98","","","10.942","","",
"Burundi","BDI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.586","","","","","","","","3.17","","","","","","0.659","","",
"Burundi","BDI","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.324","","","","","","","","11.066","","","","","","6.204","","",
"Burundi","BDI","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67","4.753","4.864","4.857","4.936","4.959","4.903","4.85","4.941","4.969","4.972","4.985","5.094","5.075","5.169","5.173","4.124","2.97","3.086","3.213","3.38","3.578","3.83","4.166","3.776","3.274","2.782","2.285","1.782","2.11","2.04","1.926",
"Burundi","BDI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2546372","2568641","2622016","2410298","2394789","2628505","2575028","2527375","2574722","2652842","2711922","2789039","2877511","2979746","3109670","3235531","3353085","3475185","3624218","3823894","3999715","4113261","4228184","4347855","4460707","4525904","4553883","4644148","4803010","4990348","5110212","5332664","5573272",
"Burundi","BDI","Part time employment, female (% of total female employment)","SL.TLF.PART.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.85","","","","","","","","",
