"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Honduras","HND","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29000","174000","190000","190000","190000","247000","247000","247000","247000",
"Honduras","HND","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.196929156780243","","0.205379649996758","","0.193243935704231","","0.16667452454567","0.164992913603783","0.148155257105827","0.147149711847305","0.121858291327953","0.123493321239948","0.118133068084717","0.115476123988628","0.114069059491158","0.11667512357235","0.11923711001873","0.11602645367384","0.127144142985344","0.129032924771309","0.125404328107834","0.12585423886776","0.128005251288414","0.122321605682373","0.127330005168915","0.129309862852097","0.127465710043907",
"Honduras","HND","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","7","","8","","9","10","13","14","15","15","15","16","16","16","16","16","14","14","14","14","14","13","12","12","12",
"Honduras","HND","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.43686696030421","","2.31205718241814","2.63147112668519","1.7275797030392","2.79522299856708","","2.57963599720273","1.30847133128199","2.83717179282699","3.12358554921908","1.96264419720493","1.96086912582269","4.06990705871472","1.4495499920383","",
"Honduras","HND","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","24.4290144885","22.4052159111","19.423636213","19.7858965994","21.3630546239","22.9740825254","25.1579530714","23.3083634523","24.7956926849","25.2845969469","24.4746651881","23.3378155192","23.6058292996","23.9739800994","24.7986378916","21.5016958651","24.4022052315","29.656949395","35.6047727333","33.7559537587","40.6447318882","41.6085291568","45.5255352107","45.636659818","55.1167775111","61.3672181889","64.1457226663","70.3095101983","75.3536634383","58.6785762061","76.1545849103","96.9741912695","101.6217070406","95.2258384553","98.6773484019","100","96.7614486139","105.2261758757","105.0778638181","106.8308635038","93.4049769839","124.1906660745","",
"Honduras","HND","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","","","","","","","","","0.0156301662208062","0.0920416622130378","0.0845589022327832","0.0197410380748945","0.0120713659152912","0.0296771358865948","0.00928437373583304","","","","","0.000120894863781712","0.0304339802964077","0.00406650390610292","","0.0474851706254014","","0.00182093213515999","","","","","","","","","","","","","0.005173136362319","0.00978030468893166","0.04380256110608","0.041811671607194","0.0234106328097781","0.00458308844618699","0.0190867079294233","0.0313036169592994","0.0348239000949207","0.0617169902103248","0.046404100295944","0.0620726586242918","0.12394429824801","0.0788152772957635","0.139487444037736","0.257667162616843","0.0722448673810607","0.211840523997284","0.0765819805987303","0.0711520431157483","0.422988734520118","0.107313112080998","","",
"Honduras","HND","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","0.253448189253492","0.248464987681437","0.253448189313131","0.302014601274392","","","","","","0.165804876084542","","0.0171151601511308","","","","","0.0873023414650373","","0.00239869584664278","0.145760778295443","0.12423054825993","0.260738568812129","0.343323630224597","0.12957686170236","0.0810171063579225","0.12670632591504","0.431010576621472","0.426119322137252","0.7274131274572","0.302829650485324","0.384617103764136","0.427647916037547","0.368916289095239","0.551464273801897","0.719673452146268","0.457403106251413","0.699243320587278","0.49534972159253","","",
"Honduras","HND","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","63000000","73000000","81000000","83000000","95000000","127000000","143000000","155000000","181000000","168000000","179000000","189000000","205000000","259000000","289000000","295000000","400000000","513000000","608000000","734000000","830000000","761000000","660000000","672000000","725000000","780000000","854000000","791000000","842000000","859000000","934000000","949000000","1031000000","1173000000","1378000000","1769000000","2007000000","2440000000","2929000000","2777000000","3343000000","3423000000","3745000000","3754000000","4534000000","5048000000","5277000000","5784000000","6199000000","4827000000","6264000000","7977000000","8359000000","7833000000","8117000000","8226000000","7960000000","8656000000","8644000000","8788000000","7683000000","10216000000","12169000000",
"Honduras","HND","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","17.8197064989518","20.1492537313433","16.3690476190476","16.2621359223301","20.2797202797203","25.7586972612879","16.0653505786249","18.0818570555895","15.363511659808","17.5548589341693","17.4438687392055","16.750700280112","15.1162790697674","14.0468227424749","14.3926788685524","15.5405405405405","12.9139072847682","11.3207547169811","10.7642626480086","1.98300283286119","1.05576610720087","1.10267091399167","1.47609147609148","1.17998741346759","6.13201406066918","8.14001657000829","1.31640955007937","1.47152523873981","1.32787147906043","1.43847097677231","1.25558993157673","1.35983171514035","1.14766748112204","1.3201517032381","1.24417950563576","1.14830892244748","1.20370348310297","0.911848702081599","0.00584246586976939","0.0217378205914513","0.0324601104532897","0.0303690348930094","0.138895758732595","0.706209531756274","0.113879037325506","0.129694299143567","0.199739723261125","0.129841958334459","0.124292181726548",
"Honduras","HND","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","14.1965660155672","16.2069349678212","13.3526139585906","12.0413316338442","11.5033838612972","10.5516917879729","11.5847112464997","10.6642406099293","11.2221182170185","15.0358158637211","17.1750250493775","18.4088839079216","15.5338829264748","11.7251111663912","11.4330019754707","10.6267203616155","8.44922268160027","5.43859609093714","6.33816965679142","8.34611454562598","6.81015453856326","6.49951048598682","6.05741309061514","5.32136976771035","5.34177874613293","","","","","","3.98142494183749","4.42820754051308","3.34322238049608","2.56824103604248","3.2503597541427","1.97430788861199","3.32842248855673","3.58105490830711","4.54505039964996","4.48622426832096","4.05618474014057","3.81675106480221","2.98452067040518","2.87259727065981","2.27061494750104","","1.51099916782805","1.27065372488213","1.07897595840336","0.963318231467742","","1.20712851370756","1.39308641736697","1.52112707252549","1.246312643348","1.17927771743412","1.39788971387433","0.929671155593939","1.20259311629422","",
"Honduras","HND","Net barter terms of trade index (2015 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","129.9695226162","101.9495983032","94.5040011882","102.1964236453","117.1708594574","110.2343446061","143.5343028726","131.0383753757","96.3068870865","91.1864983002","89.5906417907","96.1055767015","90.6532439183","100.3090300545","102.346198567","125.8209926872","118.3173572701","113.8071559317","116.0136603011","116.2246355167","114.8274422981","112.0560467491","109.5070760668","106.7458055079","104.663827986","103.4129072684","101.193218148","98.7199119294","92.8606482937","92.3345080804","95.8961970706","100.2338940841","97.2279800998","91.4596190233","94.8373858907","100","100.3384135703","100.5935091522","94.3511256959","92.5426594481","96.3267919872","94.320108978","",
