"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Qatar","QAT","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14","0.11","0.11","0.09","0.09","","0.05","0.12","0.12","",
"Qatar","QAT","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","0.24","0.31","0.28","0.27","","0.15","0.17","0.17","",
"Qatar","QAT","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.841","1.884","1.935","1.998","2.071","2.153","2.209","2.224","2.247","2.29","2.354","2.441","2.548","2.649","2.636","2.592","1.554","0.992","1.124","1.284","1.307","1.477","1.109","0.74","0.574","0.484","0.505","0.441","0.421","0.494","0.514","0.304",
"Qatar","QAT","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.534","5.787","6.009","6.212","6.38","6.506","6.689","6.913","7.194","7.531","7.845","8.2","8.552","8.893","9.864","11.568","7.974","4.998","6.984","8.571","9.113","8.272","7.128","3.932","3.046","2.456","2.385","1.864","1.077","1.896","1.559","0.926",
"Qatar","QAT","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05","","","","0.46","","0.15","","0.14","0.18","","1.55","","",
"Qatar","QAT","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.87","100","93.93","","","","92.95","91.78","90.91","91.98",
"Qatar","QAT","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.33","95.379","95.226","95.352","95.475","95.679","95.847","95.449","95.137","94.996","94.891","94.946","95.027","95.284","95.263","95.12","94.631","94.594","95.007","95.605","95.794","95.681","95.609","95.612","95.577","95.584","95.548","95.547","95.667","95.853","96.124","96.375","96.821",
"Qatar","QAT","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.051","46.611","46.3","46.59","46.65","46.821","46.838","45.353","44.855","44.903","44.787","45.468","45.816","46.502","46.232","46.995","48.176","49.487","49.185","49.02","50.74","52.446","52.943","53.337","54.752","56.265","56.934","57.592","58.381","59.074","59.791","59.919","60.464",
"Qatar","QAT","Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.73","100","68.34","","64.2","","62.39","60.21","53.81","49.47",
"Qatar","QAT","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.59","82.66","82.394","82.452","82.454","82.535","82.557","81.894","81.595","81.561","81.512","81.778","81.95","82.296","82.081","82.684","84.177","85.729","86.693","87.154","87.16","87.027","86.882","86.932","87.427","87.995","88.179","88.192","88.225","88.189","88.494","88.86","",
