"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Sierra Leone","SLE","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.053","","","","","","","","","","","10.866","","","","5.231","","","","",
"Sierra Leone","SLE","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.943","","","","","","","","","","","6.14","","","","3.128","","","","",
"Sierra Leone","SLE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","5.75","5.62","5.594","5.58","5.496","5.488","5.418","5.394","5.316","5.326","5.154","5.18","5.11","5.526","5.939","6.337","6.772","7.212","7.636","8.073","8.466","8.884","9.463","8.087","6.441","5.001","3.571","3.632","4.361","4.193","4.15",
"Sierra Leone","SLE","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.394","4.398","4.266","4.214","4.172","4.075","4.037","3.954","3.906","3.817","3.79","3.633","3.616","3.521","3.758","3.993","4.217","4.465","4.714","4.951","5.194","5.407","5.634","5.953","5.134","4.159","3.315","2.499","2.57","3.299","3.161","3.083",
"Sierra Leone","SLE","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.8","","","","","","","","","","","30.53","","","","30.28","","","","",
"Sierra Leone","SLE","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.06","","","","","","","","","","","50.608","","","","66.546","","","","",
"Sierra Leone","SLE","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.451","64.654","64.803","64.88","64.894","64.884","64.969","64.928","64.822","64.737","64.746","64.738","64.687","64.615","66.308","65.476","64.635","63.784","62.925","62.057","61.181","60.298","59.408","58.511","57.609","57.321","57.032","56.741","56.448","56.118","55.584","55.426","55.562",
"Sierra Leone","SLE","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.719","64.652","64.602","64.577","64.572","64.575","64.547","64.56","64.595","64.624","64.621","64.623","64.64","64.665","65.918","65","64.07","63.13","62.179","61.219","60.25","59.273","58.289","57.297","56.3","55.081","53.857","52.628","51.396","51.519","51.029","50.928","51.115",
"Sierra Leone","SLE","Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.519","","","","","","","","","","","46.941","","","","42.478","","","","",
"Sierra Leone","SLE","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.607","66.658","66.6","66.612","66.59","66.534","66.546","66.489","66.44","66.379","66.377","66.319","66.358","66.335","67.745","66.787","65.82","64.846","63.866","62.88","61.889","60.891","59.887","58.874","57.85","57.134","56.415","55.691","54.963","54.876","54.35","54.201","",
