"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Suriname","SUR","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suriname","SUR","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.225410878658295","","0.233763545751572","","0.225928470492363","","0.218760550022125","0.223704934120178","0.219414487481117","0.224755167961121","0.166636645793915","0.164703994989395","0.159021660685539","0.157721921801567","0.153891548514366","0.15261572599411","0.149414300918579","0.144885137677193","0.160880491137505","0.150914505124092","0.14724950492382","0.148871749639511","0.150508180260658","0.141977161169052","0.145532548427582","0.146812215447426","0.143410786986351",
"Suriname","SUR","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","5","","5","","5","5","6","6","8","8","9","9","10","10","11","11","8","7","6","6","6","6","6","6","6",
"Suriname","SUR","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2240161625846","6.93517629273885","25.0854668842496","10.884412016941","14.9350653333148","10.8128313067046","20.0322377368517","8.27750945429983","5.82189672750917","12.5218071779899","2.51195891099727","4.63398792876065","11.3498843474042",
"Suriname","SUR","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","24.4091311052","22.4946968931","20.3409109461","17.416101996","16.884288347","15.6080305162","15.9004924256","14.5178244015","19.4368989355","25.712015204","22.4149129823","17.0438561734","18.5594182829","15.4726683973","21.2976059677","28.8440960943","32.478000352","34.1217091249","20.8670338305","21.2341584448","23.981117228","24.390243889","28.3846758985","38.6128427108","52.8959632057","60.3401319267","71.1129939891","82.248986258","105.4893179019","84.8416752264","122.5907522677","149.2992797763","163.0938691334","146.2325243367","127.8676424835","100","87.0725655156","120.5531682968","131.9343339398","130.4323064708","132.7452036436","91.5817950607","",
"Suriname","SUR","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","0.242718446601942","","","","","","","","","","","","","","","0.0813769882301998","0.011335184746842","","","","0.148809523809524","","","","","","","","","","0.567050950963021","","9.41495914127812E-05","0.0204414319075407","0.203369254172693","0.413295651852673","2.08321450978155","1.45858178148794","2.29094458513871","0.342712582211225","0.0597746290846146","3.61339062095521","0.156947030027544","0.128574819419147","0.699526188409114","0.131340189710159","0.0805792281566508","1.06716513311685","0.0523310333306133","0.407594230710153","0.728936590223087","0.713642407149931","0.504469487532374","0.154682210772552","0.725744123618914","0.522542861372533","0.448425145409804","0.53144903223127","0.666981540469472","0.695845147386102","","",
"Suriname","SUR","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","1.01731746533393","","","","","","","","","","","","","","0.625949478894198","1.2249212270565","2.68064945140197","3.23675355044773","3.53178607467205","3.57242712990934","0.0659843829463998","0.00247634140950146","0.0933362419512798","0.0141754123834992","0.00906394757741696","0.0156727296842211","0.669830140984445","1.21663546520101","0.0119021379350938","0.229370849372321","0.02036984253077","0.0238757347133266","0.0225066715418784","0.054229906651988","0.286390431187948","0.094389361094223","0.107699827712735","0.159429426154831","0.0779717550116434","0.0382430518061552","0.0416162335318142","","",
"Suriname","SUR","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","44000000","41000000","42000000","47000000","48000000","58000000","87000000","107000000","116000000","130000000","144000000","157000000","171000000","179000000","269000000","277000000","276000000","310000000","369000000","444000000","514000000","474000000","429000000","367000000","356000000","329000000","335000000","306000000","410000000","542000000","472000000","359000000","391000000","326000000","271000000","477000000","537000000","564000000","345000000","351000000","396000000","403000000","469000000","638000000","874000000","997000000","1175000000","1359000000","1743000000","1402000000","2026000000","2467000000","2695000000","2416000000","2113000000","1652000000","1439000000","1992000000","2180000000","2155000000","2193000000","2291000000","2579000000",
"Suriname","SUR","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.366922234392114","0.374531835205993","0.52583447645176","0.48685911245153","0.456140350877193","1.05161601543657","6.22910677147272","9.58703712968006","5.14287825614965","3.47920200133013","4.63644010786806","11.2245487919479","2.74650034409803","2.8881535977151","2.4819627945298","3.17672434733432","4.1360716263649","4.21629649586641",
"Suriname","SUR","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","5.23370794290391","","","2.4657479104844","","","","","","","","1.29271779575614","1.03587551648376","","","","","","","","","","","","","","","","","","","","0.0500754055469365","0.328588035796054","1.00364101714581","0.698812530527848","0.656006155750354","0.840262945310134","0.0783227029798797","0.0936185561237201","0.0685433202758587","0.0467943042687231","0.0406901805644874","0.0293738213265149","0.0293523013705045","0.0278606196117186","0.0297514530683946","0.471284013877853","0.493834671149647","0.672755343166297","0.859119594575654","0.974118369533908","1.47939569110798","1.77850431166855","3.16661072640114","2.90513634986161","3.22674145620486","3.35541492503986","4.17320012826363","3.24503472971199","3.42797349256523",
