"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Virgin Islands (U.S.)","VIR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.3594082336815","23.3932356119904","25.040110547451","21.2598789111245","25.9244856767217","38.0596980287861","28.8941913354709","34.6626945092418","34.7479832082719","40.3700904571678","40.3731227671551","43.199789635807","46.9629086947129","52.7595108439637","42.6623182703748","49.6311072509139","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2300","","","","","",
"Virgin Islands (U.S.)","VIR","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval","VA.PER.RNK.UPPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.9423065185547","100","100","100","100","100","98.1042633056641","96.2441329956055","95.7746505737305","96.2441329956055","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7609001994133","1.15323007106781","0.782868325710297","0.744717001914978","0.746175408363342","0.743839979171753","0.767428874969482","0.784417808055878","0.800454020500183","0.78344589471817","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Import value index (2015 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)","TM.VAL.MRCH.R6.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","TM.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Insurance and financial services (% of commercial service imports)","TM.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Agricultural raw materials imports (% of merchandise imports)","TM.VAL.AGRI.ZS.UN","","","","","","","","","","","1.03247873743181","0.653820716113511","0.408687103817814","0.397207173515161","","","","1.01340530939494","0.393594459901607","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Share of tariff lines with specific rates, primary products (%)","TM.TAX.TCOM.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Share of tariff lines with specific rates, all products (%)","TM.TAX.MRCH.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Bound rate, simple mean, all products (%)","TM.TAX.MRCH.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","International tourism, expenditures for passenger transport items (current US$)","ST.INT.TRNX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Urban population","SP.URB.TOTL","18355","19847","20734","24120","25276","27526","29839","32344","37397","41232","44174","50208","54905","61467","66711","71094","73363","72044","75091","76204","79855","80915","81947","83005","84015","84921","85733","86498","87230","87965","91160","92529","93936","95290","96515","97507","98277","99010","99649","100159","100587","100749","100952","101182","101373","101581","101716","101894","102152","102354","102499","102617","102691","102715","102718","102703","102656","102564","102422","102223","101974","101678","101340",
"Virgin Islands (U.S.)","VIR","Rural population","SP.RUR.TOTL","14145","14453","14266","15680","15524","15974","16361","16756","18303","19068","19302","20729","21414","22654","23230","23390","22803","21159","20838","19979","19781","18938","18121","17343","16585","15839","15109","14403","13722","13076","12803","12278","11776","11288","10803","10311","9818","9347","8888","8440","8055","7800","7557","7323","7093","6872","6653","6443","6245","6050","5858","5673","5497","5326","5164","5009","4860","4717","4579","4446","4316","4192","4073",
"Virgin Islands (U.S.)","VIR","Completeness of birth registration, rural (%)","SP.REG.BRTH.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Population, male","SP.POP.TOTL.MA.IN","16373","17510","17818","20212","20674","21984","23276","24665","27903","30133","31689","35307","37774","41428","44096","46120","46736","45107","46232","46165","47752","47888","48025","48204","48379","48519","48636","48757","48879","49013","50512","50908","51255","51595","51871","52015","52047","52070","52048","51971","51887","51805","51818","51854","51874","51898","51877","51869","51890","51855","51796","51741","51650","51529","51384","51208","50999","50759","50489","50196","49866","49510","49137",
"Virgin Islands (U.S.)","VIR","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","12.7854642440407","12.1804969764724","11.173322762858","10.2777416699164","9.49715968861772","8.75984251968504","8.03591221458657","7.41073588883896","6.89665598355203","6.47641170289254","6.19203993169578","6.15856704488689","6.28912538007512","6.42012619713708","6.56287104063733","6.71465896840913","6.89108910891089","7.10451531417745","7.32022391273145","7.56693624024492","7.68349203674054","7.66870147966293","7.7123135304894","7.80108604305385","7.90740059793122","8.05828929464258","8.23769206647852","8.43311586191863","8.69140322030218","9.00413716162821","9.31463469803212","9.73636008767979","10.2411712750191","10.6942370856972","11.147667892394","11.4999557012492","11.7120668009693","11.9253330251105","12.1878622229218","12.4916641836575","12.8802415486201","13.3808270094471","13.9640335237881","14.6117571330619","15.3313509514037","16.0536980044284","16.7797741558658","17.6179350244771","18.5788088507652","19.6728416637539","20.8769882008804","22.1640216883503","23.4908904138905","24.816456971756","26.0882203328247","27.2728606859306","28.3732922383902","29.3891473796023","30.3581408697491","31.31262295832","32.1557273539286","32.9285736496782","33.8008260958334",
"Virgin Islands (U.S.)","VIR","Population ages 80 and above, female (% of female population)","SP.POP.80UP.FE.5Y","1.46256208990004","1.53226512564574","1.3507282540888","1.20615695180419","1.08631757153942","0.987179767182825","0.91845423948745","0.888317677521783","0.888416954251836","0.907667710345746","0.884440457642856","0.824717801148078","0.78898493248244","0.765336470463828","0.748380604993397","0.728691476590636","0.713096400068898","0.712492291428068","0.72639481570114","0.755017293977207","0.771989786286997","0.765480921709509","0.748614482885358","0.732120469705525","0.720660843144702","0.717273226215485","0.718326810268851","0.710530326120085","0.698858243938915","0.704564731282289","0.734065467049153","0.856050611946191","1.02859218614077","1.16612266585699","1.29924006713055","1.40261098556301","1.4810377401963","1.55684154974432","1.63608741381325","1.72964224417746","1.82516300837823","1.92260007084662","2.02817952453715","2.13508519811127","2.23904046253153","2.32409458461649","2.38811346240432","2.45528074505071","2.54283089228774","2.66029276724464","2.77233798698662","2.87483093234571","2.99529701840099","3.12606215379528","3.26179306268701","3.41464319157418","3.57823496053622","3.75222459305088","3.94881852993369","4.16444207154298","4.37261466040266","4.58486600105097","4.83234621142927",
"Virgin Islands (U.S.)","VIR","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","1.87036242104618","1.59939293115022","1.54601426672815","1.51148120111027","1.4883961532131","1.45456133837115","1.40302501926118","1.33247651628267","1.2529864613751","1.16747718339884","1.08902632862786","1.05166352700357","1.04592869810504","1.04952876951344","1.06911514999057","1.10684273709484","1.15978641557099","1.21024579332217","1.2410127172037","1.28556998704227","1.33632723623682","1.37532058184381","1.42081999400335","1.47476816185126","1.53721990125332","1.57932587671985","1.61102318925732","1.65441176470588","1.71023745841841","1.76671293083507","1.84675417499734","1.93068782559293","1.99600416790142","2.06751935630788","2.11857215590881","2.14126963375231","2.15473941293028","2.17375479973067","2.19073902607851","2.21696561168865","2.27194309525705","2.36273467941906","2.4821434917025","2.6161934430034","2.75884977600618","2.89858987519585","3.0184601530842","3.13440095112857","3.26433551316003","3.41651812240047","3.60349791081952","3.83976471228997","4.11031459750696","4.39467568138601","4.69506113553249","5.01209912941896","5.33527940725315","5.6381204401666","5.90361445783132","6.11084572081565","6.22274734858075","6.24483897605285","6.22687168670728",
"Virgin Islands (U.S.)","VIR","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1132","1283","1185","1225","1150","1111","1056","1011","1038","1023","1010","1112","1212","1357","1485","1597","1666","1673","1797","1891","2022","2051","2105","2174","2231","2293","2361","2427","2504","2602","2772","2914","3071","3212","3366","3503","3597","3686","3780","3877","3998","4171","4401","4663","4955","5234","5499","5797","6128","6476","6834","7192","7529","7835","8093","8289","8431","8532","8607","8676","8702","8711","8747",
